-74.1	-43.08	27	24
-71.59	-43.04	157.4	1.04
-71.79	-42.28	156.2	400
-72.06	-42.24	127	400
-71.79	-41.89	154	400
-73.99	-42.73	26.4	4.93
-72.09	-41.26	117.6	400
-71.48	-40.53	151.4	400
-71.52	-39.88	143.4	400
-72.69	-39.85	71.6	400
-73.4	-40.55	41	9.36
-70.74	-39.48	163.1	71.74
-71.2	-39.45	140.9	44.62
-70.32	-38.1	179.3	52.27
-71.46	-39.11	104.1	400
-70.94	-39.21	162	5.02
-71.04	-38.26	135	5.02
-72.31	-38.61	85.6	400
-73.24	-38.99	30.1	0.55
-73.79	-39.51	35	24
-72.14	-38.51	77.6	400
-71.99	-38.36	76.8	400
-73.67	-38.48	21.5	34.46
-73.33	-38.35	24	24
-73.57	-38.19	20.8	16.97
-73.23	-38.22	35	24
-71.16	-38.15	129.6	400
-73.63	-38.08	35	24
-73.44	-38.01	26.6	4.58
-73.3	-37.99	26	24
-73.45	-38.07	19	24
-73.31	-38.07	22	24
-73.5	-37.93	33	24
-73.11	-37.97	21.8	15.52
-73	-37.76	32.5	2.28
-73.42	-37.78	39	24
-73.36	-37.74	15	24
-73.41	-37.69	21	24
-72.83	-37.69	45	24
-73.65	-37.71	24	24
-73.79	-37.69	35	24
-73.48	-37.57	35	24
-73.87	-37.58	35	24
-73.64	-37.56	37	24
-72.85	-37.62	34	24
-74.39	-37.52	13	24
-73.45	-37.62	28	24
-73.69	-37.58	21	24
-73.46	-37.55	35	24
-73.68	-37.52	25	24
-73.6	-37.51	31	24
-73.71	-37.43	35	24
-73.67	-37.42	24	24
-73.28	-37.44	18	24
-73.32	-37.43	23	24
-73.64	-37.32	22	24
-73.8	-37.3	35	24
-73.69	-37.36	31	24
-72.07	-37.43	76.8	400
-70.79	-37.5	145.6	10.76
-73.69	-37.23	35	24
-73.52	-37.22	26	24
-73.68	-37.16	36	24
-73.56	-37.15	19	24
-73.75	-37.16	29	24
-73.76	-37.17	19	24
-73.2	-37.2	15	24
-71.69	-37.29	103.8	400
-73.41	-37.03	16	24
-72.95	-37.03	16	24
-71.9	-37.12	82	400
-72.72	-36.98	32	24
-73.7	-36.83	37	24
-73.62	-36.86	35	24
-73.54	-36.88	35	24
-73.48	-36.88	35	24
-70.63	-37.11	149.3	5.48
-71.59	-37.08	90.3	400
-73.55	-36.76	35	24
-73.5	-36.82	14	24
-73.41	-36.78	28	24
-73.61	-36.69	15	24
-73.5	-36.72	30	24
-73.26	-36.6	22.3	4.84
-72.92	-36.67	28	24
-73.3	-36.67	35	24
-73.33	-36.62	35	24
-73.36	-36.61	20	24
-73.22	-36.63	29	24
-73.37	-36.67	18	24
-73.18	-36.65	17	24
-72.77	-36.57	28	24
-73.18	-36.56	20	24
-73.28	-36.56	18	24
-70.54	-36.79	153.7	400
-73.2	-36.45	26.4	7.4
-73.01	-36.47	40	24
-73.12	-36.47	27	24
-70.35	-36.72	161	25.2
-73.22	-36.4	23	24
-73.07	-36.4	42	24
-73.12	-36.29	25	4.49
-73.01	-36.32	32	24
-73.16	-36.34	36	24
-70.57	-36.52	138.6	28.73
-71.73	-36.48	89.1	400
-73.26	-36.22	18	24
-73.45	-36.14	35	24
-72.88	-36.23	24	24
-73.11	-36.25	35	24
-71.33	-36.42	107.1	42.77
-70.9	-36.43	124.3	1.28
-72.9	-36.12	22	24
-71.43	-36.29	92.9	400
-71.63	-36.31	87.9	400
-71.31	-36.21	93	400
-71.64	-36.21	88.6	400
-70.38	-36.24	155.9	400
-71.73	-36.1	96.9	400
